"CIF_ID","TRAN_DATE_BAL"
"0363976",218.82
"0363976",150
"0364835",54200
"0364835",200200
"0340167",9412
"0146161",357708.98
"0041634",33075.04
"0363976",194.34
"0284358",31170.41
"0363382",17834
"0362430",17001
"0070754",104929.99
"0340167",4332
"0070754",580
"0141356",2043.02
"0351229",250
"0180572",536131.15
"0274634",350000.67
"0354563",13256
"0281943",18727.5
"0281943",727.5
"0061661",143413.82
"0180572",479467.15
"0351229",0
"0098763",7329.31
"0116757",2301.65
"0116757",9015.65
"0362430",16601
"0106364",16771.17
"0274634",0.67
"0116757",97
"0116757",801.65
"0274634",350000
"0356471",686
"0147412",18
"0173764",48000.59
"0173764",63613.59
"0173764",63613.59
"0131560",4171.05
"0171356",200850.33
"0281943",267.5
"0281943",727.5
"0284358",19930.41
"0304684",2446.5
"0308614",3852
"0351229",102560
"0351229",0
"0282296",57328.17
"0345617",7500
"0146161",378408.98
"0359948",24458.5
"0359948",17494.5
"0173764",63613.59
"0120552",13164.3
"0364835",44200
"0362430",18501
"0354707",22493
"0354707",50451
"0354707",50451
"0043641",380.94
"0043641",880.94
"0340018",165.52
"0350232",8500
"0188054",9149.24
"0363976",29.3
"0330697",2084.28
"0106743",295.1
"0199156",410.4
"0199156",0.4
"0199156",0.4
"0120552",18786.3
"0120552",21231.3
"0361413",20126
"0361413",286
"0361413",286
"0362014",53247
"0356835",4452.46
"0351229",100400
"0359948",17494.5
"0120552",698
"0354707",36893
"0362430",10011
"0356471",2961
"0180349",40202.59
"0332941",51.3
"0336606",4807.42
"0141356",1043.02
"0141356",2043.02
"0330697",284.28
"0363802",829.04
"0147412",7806.19
"0363802",1.31
"0363976",3246.94
"0363976",330
"0008200",2380039.96
"0284358",29930.41
"0355815",0
"0179906",695.8
"0332941",424
"0364661",156000
"0362430",8011
"0362430",13211
"0182768",3448.74
"0182768",448.74
"0359195",34833.2
"0364835",8520
"0364835",545240
"0363976",29.59
"0328319",390.28
"0115066",79242.32
"0125015",121317.16
"0363976",2986.29
"0363976",3422.2
"0363976",3422.2
"0356471",988
"0356471",58
"0188679",3
"0349359",0.4
"0350232",5920
"0199156",33240.4
"0309373",9592.6
"0098763",1129.31
"0165073",15335.2
"0282296",33328.17
"0178263",51566.59
"0164074",6430.3
"0133426",99405.22
"0180572",9144003.15
"0356835",4178.96
"0349391",44249
"0354563",9493
"0356471",2315
"0294856",6
"0198775",496.57
"0146161",348408.98
"0332941",428
"0333640",145044.32
"0333640",140044.32
"0282296",23328.17
"0070754",18565.66
"0354563",106
"0061661",82056.82
"0180572",9738682.15
"0198848",83
"0199156",0.4
"0363976",2630
"0171356",15850.33
"0156528",36736.37
"0109544",121373.84
"0069222",1674.78
"0061661",3577
"0128331",2875.79
"0131560",3135.05
"0021334",1146.14
"0133426",2044
"0188054",3900.24
"0367648",16500
"0156810",117913.76
"0156810",278245.76
"0086277",7148.81
"0199156",410.4
"0309373",3022.6
"0069222",1074.78
"0308589",19215.71
"0368229",81500
"0368431",1000
"0322578",0.88
"0098763",2049.31
"0356835",4136.32
"0351580",189
"0345617",5500
"0356928",18000
"0356471",1010
"0364835",49520
"0356471",3213
"0147412",25
"0141501",34.7
"0164074",7630.3
"0049722",19
"0179638",162755.34
"0344228",62.22
"0351229",0
"0351229",50580
"0349359",0.61
"0282296",34328.17
"0363976",3937.46
"0363976",0
"0342576",12100.7
"0367470",1270
"0367470",5240
"0070754",582
"0335028",17.85
"0335028",867.85
"0309373",4897.6
"0335009",140620.5
"0335009",19404.5
"0354563",823
"0277937",49.77
"0354707",698
"0354707",12773
"0346203",358066.23
"0347483",132
"0350232",0
"0350232",2560
"0347051",367.5
"0122426",798.17
"0156528",21236.37
"0363976",130
"0356471",580
"0356471",1260
"0173764",52500.59
"0061661",84396.82
"0358150",246
"0321158",57257.24
"0135089",5092.42
"0179638",172755.34
"0179638",1417469.49
"0164074",2030.3
"0115066",56790.32
"0363976",2939.1
"0178263",50366.59
"0367470",730
"0179638",6567
"0351229",101000
"0188054",7484.24
